Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-02-16,Boys State,2020,https://boxd.it/1FgTCt,,,,2021-02-15
2021-02-22,I Care a Lot,2020,https://boxd.it/1G9C1b,2,,,2021-02-21
2021-02-28,Natural Born Killers,1994,https://boxd.it/1GRRfZ,,,,2021-02-27
2021-02-28,Pelé,2021,https://boxd.it/1GSZM5,,,,2021-02-27
2021-03-01,A Dog's Will,2000,https://boxd.it/1H2sfR,4,,,2021-02-28
2021-03-01,Us,2019,https://boxd.it/1H5ibh,,,,2021-02-28
2021-03-02,The Big Sick,2017,https://boxd.it/1HeNrD,,,,2021-03-01
2021-03-04,Amiga do Inimigo,2020,https://boxd.it/1HtPi9,,,,2021-03-03
2021-03-05,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/1HzkQh,,,,2021-03-04
2021-03-06,The Room,2003,https://boxd.it/1HGRmD,,,,2021-03-05
2021-03-06,The Disaster Artist,2017,https://boxd.it/1HJQOd,4,,,2021-03-05
2021-03-07,Hugo,2011,https://boxd.it/1HSBJF,,,,2021-03-06
2021-03-08,Snowpiercer,2013,https://boxd.it/1I2tZ1,,,,2021-03-07
2021-03-09,The Kingdom of the Fairies,1903,https://boxd.it/1IaP27,,,,2021-03-08
2021-03-10,Incendies,2010,https://boxd.it/1IijDh,5,,,2021-03-09
2021-03-11,Life in Gray,2017,https://boxd.it/1IqiYf,,,,2021-03-10
2021-03-14,Red Dragon,2002,https://boxd.it/1IIHo3,,,,2021-03-13
2021-03-14,Rope,1948,https://boxd.it/1IKFB9,,,,2021-03-13
2021-03-17,Judas and the Black Messiah,2021,https://boxd.it/1JdSfj,,,,2021-03-16
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/1JuF1d,3.5,,,2021-03-19
2021-03-21,The World to Come,2020,https://boxd.it/1JLe3F,,,,2021-03-20
2021-03-22,Green Vinyl,2004,https://boxd.it/1JPIj7,,,,2021-03-21
2021-03-22,O Violeiro Fantasma,2017,https://boxd.it/1JQlzj,,,,2021-03-21
2021-03-22,Make It Soul,2018,https://boxd.it/1JQvqV,,,,2021-03-21
2021-03-22,Até a China,2015,https://boxd.it/1JQGeV,,,,2021-03-21
2021-03-22,Love,2016,https://boxd.it/1JS6Fl,,,,2021-03-21
2021-03-22,Venus – Filly the Lesbian Little Fairy,2017,https://boxd.it/1JS6Pv,,,,2021-03-21
2021-03-22,Call Me by Your Name,2017,https://boxd.it/1JWIDv,3.5,,,2021-03-21
2021-03-24,The Motorcycle Diaries,2004,https://boxd.it/1KbhDD,,,,2021-03-23
2021-03-25,Colette,2020,https://boxd.it/1KjlSt,,,,2021-03-24
2021-03-26,Do Not Split,2020,https://boxd.it/1KmZwN,,,,2021-03-25
2021-03-27,The Nice Guys,2016,https://boxd.it/1Kyquh,4,,,2021-03-26
2021-03-28,Coming to America,1988,https://boxd.it/1KFmMv,,,,2021-03-27
2021-03-28,Coming 2 America,2021,https://boxd.it/1KH8N9,1.5,,,2021-03-27
2021-03-29,Umbrella,2020,https://boxd.it/1KPkeh,,,,2021-03-28
2021-03-29,Purl,2018,https://boxd.it/1KPkv3,,,,2021-03-28
2021-03-29,The Gentlemen,2019,https://boxd.it/1KRTx3,,,,2021-03-28
2021-03-30,Out,2020,https://boxd.it/1KZRbl,,,,2021-03-29
2021-04-02,The King,2019,https://boxd.it/1LntFT,3.5,,,2021-04-01
2021-04-03,The White Tiger,2021,https://boxd.it/1LzcnR,,,,2021-04-02
2021-04-04,Mary Queen of Scots,2018,https://boxd.it/1LFA5f,,,,2021-04-03
2021-04-05,Godzilla vs. Kong,2021,https://boxd.it/1LSs3B,3,,,2021-04-04
2021-04-05,Outrage,1950,https://boxd.it/1LSZcr,,,,2021-04-04
2021-04-08,A Love Song for Latasha,2019,https://boxd.it/1MjrP9,,,,2021-04-07
2021-04-10,Notorious,1946,https://boxd.it/1MzthZ,,,,2021-04-09
2021-04-11,The Exterminating Angel,1962,https://boxd.it/1MG1Pj,,,,2021-04-10
2021-04-11,To Catch a Thief,1955,https://boxd.it/1MKPJD,3.5,,,2021-04-10
2021-04-16,Portrait of a Lady on Fire,2019,https://boxd.it/1NqFPZ,,,,2021-04-15
2021-04-16,The Grand Budapest Hotel,2014,https://boxd.it/1NtjBd,4.5,,,2021-04-15
2021-04-17,Sound of Metal,2019,https://boxd.it/1NBccB,4.5,,,2021-04-16
2021-04-19,Chaos Walking,2021,https://boxd.it/1NQCrH,,,,2021-04-18
2021-04-19,Save Ralph,2021,https://boxd.it/1NRaWp,,,,2021-04-18
2021-04-19,Some Like It Hot,1959,https://boxd.it/1NV4DJ,,,,2021-04-18
2021-04-20,Love and Monsters,2020,https://boxd.it/1O1pul,,,,2021-04-19
2021-04-20,Annihilation,2018,https://boxd.it/1O4niN,,Yes,,2021-04-19
2021-04-20,Opera,2020,https://boxd.it/1O5NtT,,,,2021-04-19
2021-04-22,Burrow,2020,https://boxd.it/1Oi119,,,,2021-04-21
2021-04-22,Model Citizen,2020,https://boxd.it/1Oi4qr,,,,2021-04-21
2021-04-22,Children's Toys,2018,https://boxd.it/1Oi6Wz,,,,2021-04-21
2021-04-22,Being Pretty,2017,https://boxd.it/1Oi8Fv,,,,2021-04-21
2021-04-22,No Monsters,2017,https://boxd.it/1OiaxX,,,,2021-04-21
2021-04-22,Don't Feed the Freaks,2018,https://boxd.it/1Oid3h,,,,2021-04-21
2021-04-22,Friendly Shadow,2020,https://boxd.it/1OlafP,,,,2021-04-21
2021-04-25,Nomadland,2020,https://boxd.it/1OJDjJ,,,,2021-04-24
2021-04-25,The Father,2020,https://boxd.it/1OLf1Z,,,,2021-04-24
2021-04-26,Yesterday,2019,https://boxd.it/1ORvAX,,,,2021-04-25
2021-04-26,Night and Fog,1956,https://boxd.it/1OWUTZ,,,,2021-04-25
2021-04-27,The Animatrix,2003,https://boxd.it/1P6HrN,,,,2021-04-26
2021-04-28,The Florida Project,2017,https://boxd.it/1PeGv1,4,,,2021-04-27
2021-04-30,Love and Death,1975,https://boxd.it/1Ps0eP,,,,2021-04-29
2021-04-30,Dial M for Murder,1954,https://boxd.it/1PujTr,,,,2021-04-29
2021-05-01,The Godfather,1972,https://boxd.it/1PBGdx,,Yes,,2021-04-30
2021-05-03,Starship Troopers,1997,https://boxd.it/1PT8xJ,,,,2021-05-02
2021-05-03,Breakfast at Tiffany's,1961,https://boxd.it/1PWVAj,,,,2021-05-02
2021-05-08,Memories,1995,https://boxd.it/1QySo1,,,,2021-05-07
2021-05-08,Predestination,2014,https://boxd.it/1QAeJn,,,,2021-05-07
2021-05-09,Roman Holiday,1953,https://boxd.it/1QJdSr,5,,,2021-05-08
2021-05-11,They Live,1988,https://boxd.it/1R08hp,,,,2021-05-10
2021-05-13,The Mitchells vs. The Machines,2021,https://boxd.it/1Rd233,4,,,2021-05-12
2021-05-15,The Woman in the Window,2021,https://boxd.it/1Rw7ar,1,,,2021-05-14
2021-05-16,The Seventh Seal,1957,https://boxd.it/1RBIPB,,,,2021-05-15
2021-05-16,The Royal Tenenbaums,2001,https://boxd.it/1REh1b,,,,2021-05-15
2021-05-18,"history of the entire world, i guess",2017,https://boxd.it/1RVoYD,,,,2021-05-17
2021-05-18,Moonrise Kingdom,2012,https://boxd.it/1RWhT9,,,,2021-05-17
2021-05-18,Raiders of the Lost Ark,1981,https://boxd.it/1RXnPT,,,,2021-05-17
2021-05-19,Jurassic Park,1993,https://boxd.it/1S4UV5,4.5,,,2021-05-18
2021-05-21,The Shining,1980,https://boxd.it/1ShdWP,,,,2021-05-20
2021-05-23,Little Miss Sunshine,2006,https://boxd.it/1SulNx,,,,2021-05-22
2021-05-23,The Lobster,2015,https://boxd.it/1Swj29,,,,2021-05-22
2021-05-24,Teen Titans Go! To the Movies,2018,https://boxd.it/1SDOez,,,,2021-05-23
2021-05-24,The Trial of Joan of Arc,1962,https://boxd.it/1SGySp,,,,2021-05-23
2021-05-24,Paths of Glory,1957,https://boxd.it/1SJg9H,,,,2021-05-23
2021-05-25,The Apartment,1960,https://boxd.it/1SQXrt,4.5,,,2021-05-24
2021-05-26,My Fair Lady,1964,https://boxd.it/1SV09F,,,,2021-05-25
2021-05-26,Minari,2020,https://boxd.it/1SWPLH,,,,2021-05-25
2021-05-27,Persona,1966,https://boxd.it/1T3eu9,3.5,,,2021-05-26
2021-05-27,A Girl in the River: The Price of Forgiveness,2015,https://boxd.it/1T3ZCp,,,,2021-05-26
2021-05-27,Eyes Wide Shut,1999,https://boxd.it/1T73O1,,,,2021-05-26
2021-05-29,First Reformed,2017,https://boxd.it/1TindL,,,,2021-05-28
2021-05-30,Full Metal Jacket,1987,https://boxd.it/1Tpvln,,,,2021-05-29
2021-05-30,The Children's Hour,1961,https://boxd.it/1Trvsn,,,,2021-05-29
2021-05-31,The Ten Commandments,1956,https://boxd.it/1TBJOR,4.5,,,2021-05-30
2021-05-31,Inside Man,2006,https://boxd.it/1TEcrh,,,,2021-05-30
2021-06-01,Spartacus,1960,https://boxd.it/1TOTOX,,,,2021-05-31
2021-06-04,Stalker,1979,https://boxd.it/1U7ard,3,,,2021-06-03
2021-06-04,Sunset Boulevard,1950,https://boxd.it/1U9vlT,4.5,,,2021-06-03
2021-06-04,Into the Wild,2007,https://boxd.it/1UaV6n,4,,,2021-06-03
2021-06-05,The Handmaiden,2016,https://boxd.it/1UjZ4j,3.5,,,2021-06-04
2021-06-06,Saint Maud,2019,https://boxd.it/1UpBQb,3.5,,,2021-06-05
2021-06-06,Apocalypse Now,1979,https://boxd.it/1UskK7,3,,,2021-06-05
2021-06-07,Bo Burnham: Inside,2021,https://boxd.it/1UyKPT,4,,,2021-06-06
